PokedexNumber,Name,PrimaryType,SecondaryType,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,HighestStat,HighestStatValue,EvolutionStage,Color,Height,Weight,DexEntry,Generation
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,Special Attack,65,1,Green,7,69,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,1
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,Special Attack,80,2,Green,10,130,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",1
3,Venusaur,Grass,Poison,80,82,83,100,100,80,Special Attack,100,3,Green,20,1000,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,1
4,Charmander,Fire,None,39,52,43,60,50,65,Speed,65,1,Red,6,85,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",1
5,Charmeleon,Fire,None,58,64,58,80,65,80,Special Attack,80,2,Red,11,190,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",1
6,Charizard,Fire,Flying,78,84,78,109,85,100,Special Attack,109,3,Red,17,905,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,1
7,Squirtle,Water,None,44,48,65,50,64,43,Defense,65,1,Blue,5,90,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",1
8,Wartortle,Water,None,59,63,80,65,80,58,Defense,80,2,Blue,10,225,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",1
9,Blastoise,Water,None,79,83,100,85,105,78,Special Defense,105,3,Blue,16,855,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,1
10,Caterpie,Bug,None,45,30,35,20,20,45,Hp,45,1,Green,3,29,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,1
11,Metapod,Bug,None,50,20,55,25,25,30,Defense,55,2,Green,7,99,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",1
12,Butterfree,Bug,Flying,60,45,50,90,80,70,Special Attack,90,3,White,11,320,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",1
13,Weedle,Bug,Poison,40,35,30,20,20,50,Speed,50,1,Brown,3,32,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",1
14,Kakuna,Bug,Poison,45,25,50,25,25,35,Defense,50,2,Yellow,6,100,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",1
15,Beedrill,Bug,Poison,65,90,40,45,80,75,Attack,90,3,Yellow,10,295,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,1
16,Pidgey,Normal,Flying,40,45,40,35,35,56,Speed,56,1,Brown,3,18,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,1
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,Speed,71,2,Brown,11,300,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",1
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,Speed,101,3,Brown,15,395,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",1
19,Rattata,Normal,None,30,56,35,25,35,72,Speed,72,1,Purple,3,35,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",1
20,Raticate,Normal,None,55,81,60,50,70,97,Speed,97,2,Brown,7,185,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,1
21,Spearow,Normal,Flying,40,60,30,31,31,70,Speed,70,1,Brown,3,20,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,1
